text,date,retweets,favorites,negative,neutral,positive,compound
"Hey, Michael. Is there something we can assist you with? ^TY",2017-04-05 16:26:58,0,0,0.0,1.0,0.0,0.0
"@ united no, 24 hours of flying wasn't enough today. Just sitting at the gate is exactly what I wanted to do today.",2017-04-05 16:25:58,0,0,0.092,0.792,0.117,0.1531
@ DELTA gate agents rebooked me on a @ united flight. Can I still get the Skymiles for the flight I paid for?,2017-04-05 16:25:25,0,0,0.0,0.859,0.141,0.4215
THANK U SO MUCH FOR YOURE HELP.,2017-04-05 16:24:09,0,0,0.0,0.435,0.565,0.6369
@united@1684 just gets worse # voyageofthedamned have to be towed back to # newark gate # westpalm seems further away than ever. @ oscar_munez,2017-04-05 16:23:29,0,1,0.14,0.86,0.0,-0.4767
@ united ua1278 delayed for connecting pax who are still in the customs hall? Say it ain't so. Only asking as zero on board announcements.,2017-04-05 16:21:20,0,0,0.071,0.824,0.105,0.2263
Should have flown on @ united like I normally do. Now I'm delayed cause Of @ AmericanAir,2017-04-05 16:20:42,0,1,0.104,0.604,0.291,0.5267
Well I fly to Dulles Friday so if you want to just push it for the weekend,2017-04-05 16:20:36,0,0,0.0,0.793,0.207,0.3947
United Airlines shifts Boeing 737s back to U.S. mainland http://bit.ly/2nM3uaf,2017-04-05 16:20:06,1,0,0.0,0.763,0.237,0.4215
"Hello Georgi, you'll need to follow the guidelines outlined on our website:http://bit.ly/1agCwR2 . ^JR",2017-04-05 16:19:27,0,0,0.0,1.0,0.0,0.0
I agree but much better getting in earlier in the day than for the last flight of the night. 10:30 flight from Dulles Plus a Uber ride,2017-04-05 16:18:21,0,1,0.0,0.804,0.196,0.6808
"@ united 2 passengers (elderly plus child) on Flt 4372 DCA to EWR, connecting to 8PM flt 36 to EDI. 4372 grtly delayed. Pls assist",2017-04-05 16:17:37,0,0,0.073,0.769,0.158,0.296
"Josh, we regret this difficulty. We can't wait to have you in route. ^JR",2017-04-05 16:15:35,0,0,0.316,0.684,0.0,-0.6757
I don't always mind the stripe. You can usually use the app to change your flight to anything which can be a nice feature. Not tonight?,2017-04-05 16:15:16,0,2,0.0,0.891,0.109,0.4215
@ united helps you lose money AND clients. GREAT!,2017-04-05 16:14:51,0,0,0.157,0.232,0.611,0.8327
Thanks to @ united and their 2 hour delay I'm going to miss my very important business meeting. Thank you for your horrid service!,2017-04-05 16:14:25,0,0,0.224,0.455,0.321,0.4914
We never intend to mislead with the information provided. We regret that this wasn't expressed sooner. ^JR,2017-04-05 16:14:21,0,0,0.149,0.851,0.0,-0.4215
@ united ... lonely at EWR ... I should have taken the # train,2017-04-05 16:14:15,0,0,0.175,0.629,0.196,0.0772
"Texted him, says I have to answer on Twitter. Flight cancelled? # avgeeks",2017-04-05 16:13:15,0,1,0.167,0.833,0.0,-0.25
Sitting on plane @ united with no direct tv,2017-04-05 16:12:48,0,0,0.2,0.545,0.255,0.1531
Hey @ united - I'm in Toronto and can't make a phone call. Can someone PM me re: getting a hotel room in Chicago due to flight cancellations?,2017-04-05 16:10:55,0,2,0.0,0.891,0.109,0.4215
"That's a legitimate reason. So, say so. I'm madder about the lie than the checked bag. Not cool.",2017-04-05 16:10:41,0,0,0.125,0.758,0.116,-0.046
Which @ united # avgeek can predict what this red stripe means for my evening. Hint: it's going to be a long nightpic.twitter.com/tAHcYZUS4q,2017-04-05 16:10:23,2,2,0.0,0.872,0.128,0.4215
@ united Hi there! Any insight into cancellations on tomorrow's flights? Scheduled for UA1992 @3pm with a 2nd leg at 5:15pm on UA4951. Thx! pic.twitter.com/TDb05X7r8F,2017-04-05 16:09:44,0,0,0.0,0.781,0.219,0.7081
"@ united new slogan. ""We might get you there. At some point""",2017-04-05 16:09:11,0,0,0.0,0.781,0.219,0.4215
So @ united finally got the response from the email you gave me and they told me to contact reservations now -- # disgrace # nocustomerservice,2017-04-05 16:09:07,0,0,0.117,0.769,0.113,-0.0276
"Did I mention that we spent 320,000 miles on these tickets from SFO to SYD, @ united",2017-04-05 16:06:53,0,0,0.0,0.833,0.167,0.4215
3/3 is impressive. 1/3 I can get. But 3/3 is just impressive. Even American can do better than that. And probably refund $,2017-04-05 16:06:40,0,0,0.0,0.655,0.345,0.8591
In fourth hour on phone with @ united. Charged us multiple times for the same change fee and lost our special needs daughter's reservation,2017-04-05 16:05:57,1,0,0.143,0.664,0.192,0.34
@ united @ Marcmark flight from # newark to # westpalm # crappy been on runway since 5:15 now 7:05 - nowback to gate # voyage of the damned,2017-04-05 16:05:35,0,1,0.221,0.679,0.1,-0.5267
I am so annoyed. @ united closed the flight doors before my aunt got on. She ran to make it on time from her previous united flight,2017-04-05 16:05:16,0,0,0.093,0.709,0.198,0.5046
"We try our best to honor departure plans. We understand the importance of timeliness, and apologize. ^JR",2017-04-05 16:04:44,0,0,0.0,0.535,0.465,0.8834
@ hulu @ GEICO @ Delta @ Honda @ united @ MattressFirm & Capitol One are all on the list,2017-04-05 16:03:55,0,0,0.0,0.811,0.189,0.4215
3/3 @ united flights today left late. Beginning to overtake American as the worst airline and zero customer service.,2017-04-05 16:02:58,0,0,0.179,0.699,0.122,-0.3182
"Let's see.. takeoff was 530, it's now 7. still on the runway, and we were just told we have to come back to the gate to add more fuel..",2017-04-05 16:02:48,0,0,0.0,1.0,0.0,0.0
@ united what's your policy on nail clipping on flights? Asking for the lady next to me,2017-04-05 16:02:43,0,0,0.0,0.843,0.157,0.4215
Philadelphia to San Diego (& vice versa) for only $159 roundtrip with @ United http://www.secretflying.com/posts/philadelphia-san-diego-vice-versa-159-roundtrip/ …pic.twitter.com/9QDnuhZgA7,2017-04-05 16:02:23,10,14,0.0,0.823,0.177,0.4215
You can find us many @ Albertsons @ 7eleven @ marshalls @ BedBathBeyond @ BNBuzz Starbucks Cafes and @ worldmarket,2017-04-05 16:01:52,0,0,0.0,1.0,0.0,0.0
The winner may not be who you think it is. http://buff.ly/2o3EnCd # personalfinance # travel @ United @ SouthwestAir @ AmericanAir @ Delta,2017-04-05 16:00:47,0,0,0.0,0.694,0.306,0.765
"Oh no, is everything okay? We're here if you need us. ^JR",2017-04-05 16:00:12,0,0,0.156,0.709,0.135,-0.0772
"Earth-sized United Airlines leader mystery keeps exclusive infighting, study says",2017-04-05 15:59:54,0,0,0.0,0.65,0.35,0.5106
Nice moves @ kochie_online # sun7USA # sun7,2017-04-05 15:58:57,0,0,0.0,0.588,0.412,0.4215
Hi Tiana. What seems to be the issue? ^SV ^SV,2017-04-05 15:58:46,0,0,0.0,1.0,0.0,0.0
"John, we're still expecting a great flight. We regret the inconvenience. ^JR",2017-04-05 15:58:18,0,0,0.305,0.46,0.236,-0.0516
Today just solidified why I avoid flying @ united at all costs. Just the worst. Departure and arrival times are a suggestion,2017-04-05 15:57:15,0,1,0.251,0.637,0.112,-0.5423
"@ united if I miss flight to Austin out of Chicago. I want free hotel suite, $800 and free fights... this is ridiculous",2017-04-05 15:56:58,0,0,0.142,0.486,0.372,0.765
@ united can i bring my longboard as a carry on for my next flight?,2017-04-05 15:56:04,0,0,0.0,0.797,0.203,0.4215
"Window is group 3, middle is group 4, and aisle is group 5. Hope this helps for the future! ^EB",2017-04-05 15:55:41,1,0,0.0,0.744,0.256,0.7345
....any state where my president is supported by true patriots and real Americans will do.....,2017-04-05 15:55:12,0,0,0.0,0.718,0.282,0.6249
United Airlines and American Airlines in heated on-time arrival battle: http://bizj.us/1p4isy,2017-04-05 15:55:00,0,0,0.181,0.625,0.194,0.0516
@ united Stop advertising on the Bill O'Reilly Show please. Follow the other responsible companies!,2017-04-05 15:54:26,0,0,0.111,0.503,0.387,0.6696
@ united after an hour delay moving the checked bags into the cabin? Wow. Amateur hour.,2017-04-05 15:54:08,0,0,0.11,0.574,0.316,0.6486
Where's your favorite place to go? There's many great places to explore. ^JR,2017-04-05 15:52:36,0,0,0.0,0.608,0.392,0.7964
4502 WE ARE GOING TO MISS OUR FLIGHT TO AUSTIN WHICH IS IMPORTANT @ united,2017-04-05 15:52:30,0,0,0.125,0.589,0.286,0.4588
"Guy behind me is complaining ""no one dresses up anymore"" to go on a plane. He must like United Airlines.",2017-04-05 15:52:18,0,4,0.165,0.617,0.218,0.3182
In our flight most middle seats are empty.,2017-04-05 15:51:31,0,0,0.205,0.795,0.0,-0.2023
We hate delays as much as you do. What flight are you on? ^TY,2017-04-05 15:49:55,0,0,0.222,0.778,0.0,-0.5719
"Nice, enjoy the ride. Thanks for coming aboard. ^JR",2017-04-05 15:49:55,0,0,0.0,0.333,0.667,0.8402
"@ united soooooo 508pm, 530pm, 616pm, back to 6pm to 645pm... and yet to be boarded..... # pissed",2017-04-05 15:49:04,0,0,0.2,0.667,0.133,-0.34
You look like that all the time.,2017-04-05 15:48:02,0,0,0.0,0.706,0.294,0.3612
"We don't want you to be unhappy. If you have any other details, please DM us. ^TYhttps://twitter.com/messages/compose?recipient_id=260907612 …",2017-04-05 15:47:58,0,0,0.198,0.689,0.113,-0.1833
Concerning? You offered a credit of $198 BUT not after paying $200 of rebooking fees. Are you drunk? @ united @ washingtonpost @ BuzzFeed,2017-04-05 15:47:26,0,0,0.119,0.655,0.226,0.4137
We do regret the inconvenience. Please DM us if you need assistance getting rebooked for a connection. ^TY https://twitter.com/messages/compose?recipient_id=260907612 …,2017-04-05 15:47:21,0,0,0.235,0.664,0.102,-0.4588
now I know why I see ppl bash @ united more than any other airline,2017-04-05 15:46:56,0,0,0.0,0.797,0.203,0.4215
We're glad that you've found a ton of reasons to love us. We appreciate you just as much. ^JR,2017-04-05 15:46:01,0,1,0.0,0.602,0.398,0.872
Way to go @ united. Made us gate check our bags when the overheads are only half full.,2017-04-05 15:45:38,0,0,0.0,0.851,0.149,0.4215
"Headbang. I forego my @ united loyalty to fly @ JetBlue for time convenience this trip, and... flight delayed, no standby earlier seats.",2017-04-05 15:44:51,0,0,0.155,0.606,0.239,0.4939
It's estimated to depart at 7:15 p.m. due to maintenance. ^JR,2017-04-05 15:44:41,0,0,0.0,1.0,0.0,0.0
@ united Cannot believe you haven't fixed this problem!! # nocustomerservice # strangersvibratorinmybagpic.twitter.com/hTBu0hMQnt,2017-04-05 15:44:39,0,0,0.256,0.551,0.193,-0.2285
"Lenny, we dislike that this comes as a surprise. Nonetheless, we're glad that you're in route. ^JR",2017-04-05 15:43:24,0,0,0.126,0.628,0.246,0.3612
@ united STILL NO RESPONSE!! A week has passed.I found a strangers vibrator in my bag! # gross # ridiculous # repulsedpic.twitter.com/ZJuE6INs8d,2017-04-05 15:42:55,2,0,0.389,0.496,0.116,-0.7656
Another delayed flight where @ united doesn't update you until after departure time when you know it's going to be delayed. Admit it.,2017-04-05 15:42:52,0,1,0.144,0.682,0.174,0.2023
"California is a joke, I wouldn't travel or spend a dime in that state....period.",2017-04-05 15:42:34,0,0,0.0,0.82,0.18,0.296
Probably because it's a @ united flight so they were busy going through everyone's luggage stealing lose change and medication.,2017-04-05 15:42:27,0,3,0.264,0.62,0.116,-0.5574
@ united your customer service in Syracuse NY is REALLY BAD. I'm not happy at all,2017-04-05 15:41:55,0,1,0.358,0.52,0.121,-0.7548
# goodevening # headedout # iflyboise # unitedairlines # texashereicome @Boise Airport https://www.instagram.com/p/BShVM33j8fc/,2017-04-05 15:41:35,0,0,0.0,1.0,0.0,0.0
Plenty of phantom ET availability on your site. Maybe you should work on fixing that,2017-04-05 15:40:54,0,1,0.0,1.0,0.0,0.0
Sounds like a successful travel day. ^SV ^SV,2017-04-05 15:39:44,0,1,0.0,0.442,0.558,0.743
"Thanks for sharing your props for our gate agent, Jim. ^EB",2017-04-05 15:39:11,0,0,0.0,0.612,0.388,0.6908
Thank you @ united for screwing up the trip of a lifetime.,2017-04-05 15:37:18,0,0,0.134,0.493,0.373,0.5267
"Thanks. Great flight, too!",2017-04-05 15:36:15,0,0,0.0,0.215,0.785,0.807
You should be happy that we were able to get you seats on the LFW-ADD route.,2017-04-05 15:35:47,0,0,0.0,0.802,0.198,0.5719
I had no idea suffering four flight delays with @ united could be so fun. Cheers to more wine and delay bar buddies.,2017-04-05 15:35:21,0,1,0.236,0.451,0.313,0.5508
That was a long gas fill up @ united - going to running through DIA,2017-04-05 15:35:07,0,0,0.0,0.797,0.203,0.4215
"Jeff, plase know we have not scheduled any advertising with O'Reilly Factor since 2016. ^SV ^SV",2017-04-05 15:34:41,0,0,0.0,1.0,0.0,0.0
"Oh my, please bring this to the attention of our flight staff. They should be able to rectify this matter. ^JR",2017-04-05 15:33:27,0,0,0.0,0.847,0.153,0.3453
I bet you say that to all the girls. @ united pic.twitter.com/AhQoPzeYJz,2017-04-05 15:32:41,0,6,0.0,0.763,0.237,0.4215
"If she needs any help with updates, please have her reach out with her file info. ^SV ^SV",2017-04-05 15:32:17,0,0,0.0,0.711,0.289,0.6249
. @ SouthwestAir pls fly to/from BZN. I miss you guys and never want to fly @ united again. :/ Its more than just me I promise!,2017-04-05 15:32:03,0,0,0.187,0.573,0.24,0.3549
Just to put this in perspectivepic.twitter.com/lWIe52jsAs,2017-04-05 15:31:54,0,0,0.0,1.0,0.0,0.0
"Never flying @ united again. So incompetent. Weather aside, they can't schedule flight attendants to accompany planes. Back to @ Delta",2017-04-05 15:31:17,0,0,0.146,0.733,0.121,-0.1513
"Dominate the powder. Go to @ pcski for coming storm from Chicago, others, for $384 on @ United! https://www.zrankings.com/ski-resorts/111-park-city-mountain-resort#powderfares …",2017-04-05 15:30:35,0,2,0.077,0.766,0.158,0.3802
Please DM us your confirmation number? ^TY,2017-04-05 15:30:01,0,0,0.0,0.581,0.419,0.3818
Hi Ryan. Are you still in DC? Let me know if I can help. ^SV,2017-04-05 15:29:57,0,0,0.0,0.828,0.172,0.4019
"Wait, it gets better, the scanner doesn't work so the gate agent has to type in a code for each traveler. # travelfail # iwannagohome",2017-04-05 15:29:41,0,0,0.0,0.879,0.121,0.4404
@ united why is a crew that arrived last night late for a 5:28 flight?,2017-04-05 15:28:46,0,0,0.0,0.797,0.203,0.4215
All set enjoying the DR. With a shark shark here and a.....,2017-04-05 15:28:46,0,0,0.0,0.746,0.254,0.5267
# howtoavoidgroup5 on @ united # group5 # whoknewhttps://twitter.com/united/status/849228269601800193 …,2017-04-05 15:27:10,0,0,0.0,0.588,0.412,0.4215
Yes and they transferred me to your phones for assistance bc they said the ticket number indicates it was operated by @ United,2017-04-05 15:27:04,0,0,0.0,0.736,0.264,0.7003
I just showed the @ united gate agent my e-mail alert in a flight delay. She then made an announcement for all passengers. You're welcome.,2017-04-05 15:25:46,0,4,0.081,0.636,0.283,0.6908
"United Airlines, American Airlines in heated on-time arrival battle: http://bizj.us/1p4isy",2017-04-05 15:25:00,0,0,0.194,0.597,0.209,0.0516
Check out 1986 UNITED AIRLINES ROYAL PACIFIC SERVICE LOGO MAGNET OLYMPIC PILOT WINGS LOT http://www.ebay.com/itm/1986-UNITED-AIRLINES-ROYAL-PACIFIC-SERVICE-LOGO-MAGNET-OLYMPIC-PILOT-WINGS-LOT-/252846363690?roken=cUgayN&soutkn=EMZKCy … via @ eBay,2017-04-05 15:19:33,0,0,0.0,0.819,0.181,0.5473
"RRA's @ esigurdson presented @ ljojo, EVP & # CIO of @ united, w/the Super Global CIO of the Year® ORBIE: http://bit.ly/2nLL4Gr",2017-04-05 15:19:02,1,1,0.0,0.691,0.309,0.7717
lmfao! she hung up on you!?!? that's cray. try delta. they're a lot better,2017-04-05 15:17:44,1,0,0.0,0.59,0.41,0.8242
"We do regret the inconvenience. the weather in Chicago is poor, and that may be why you are a bit delayed. ^TY",2017-04-05 15:17:36,0,0,0.377,0.623,0.0,-0.8519
What meal was offered? We're sorry that you weren't satisfied with our service. ^JR,2017-04-05 15:17:32,0,0,0.232,0.768,0.0,-0.3883
So why do you love @ united? @ TheRachelRowepic.twitter.com/FhKSjNK26r,2017-04-05 15:16:54,0,1,0.0,0.417,0.583,0.7906
My View. Right Now. Enjoy your supper. # passengershaming @ united # myviewrightnow… https://www.instagram.com/p/BShSSLPBDja/,2017-04-05 15:16:04,0,1,0.0,0.6,0.4,0.7184
@ United - THREAD - unbelievable!Third time mechanical failure .2nd in Chicago now for my husband today. What is with your jets ! # unitedfail,2017-04-05 15:15:35,0,0,0.157,0.729,0.113,-0.2695
..........:,2017-04-05 15:15:32,0,0,0.0,1.0,0.0,0.0
@ united 1.5 hours on tarmac with no explanation. flight 1282. please provide update.,2017-04-05 15:14:12,0,0,0.127,0.578,0.295,0.4404
"Heading home after a quick trip and shockingly @ united is on time — traveling to San Francisco, California from... http://fb.me/8ZRdrt7Io",2017-04-05 15:14:12,0,0,0.079,0.791,0.13,0.2732
"@ united not to mention Flight attendants couldn't speak Spanish to help out passengers wanting to know wtf was up. On a flight to PR, smh.",2017-04-05 15:12:29,0,0,0.193,0.633,0.174,-0.1531
Thank you @ united Austin team at Gate 18 for finding my lost glasses in the boarding area!!! You guys rock! pic.twitter.com/2n8RtiJOn3,2017-04-05 15:12:14,0,4,0.086,0.672,0.242,0.6331
"Colin - lucky & congrats. Me - their connection was late & I got to gate 10 min before departure, but they'd left...4 min...EARLY.",2017-04-05 15:11:55,0,0,0.0,0.806,0.194,0.4767
Year of sustainable tourism for development and global goals. We have a UN project for these 2 areas. We thank you for great customer svce,2017-04-05 15:11:10,0,1,0.0,0.761,0.239,0.765
"Plane is here, crew is here",2017-04-05 15:10:47,0,0,0.0,1.0,0.0,0.0
Now agent says delayed but app says in timepic.twitter.com/3A7XimDpc1,2017-04-05 15:10:15,0,0,0.153,0.847,0.0,-0.1154
@ united my first flight was with you guys back in 2014 to Puerto Rico. Worst flight of my damn life. Flight attendants were rude af. pic.twitter.com/zDMzXqTt4h,2017-04-05 15:09:48,0,0,0.283,0.636,0.081,-0.7906
I can only imagine the relief @ united's PR team is feeling thanks to the attention shift by @ pepsi https://twitter.com/jkarsh/status/849681641861562368 …,2017-04-05 15:09:06,1,9,0.0,0.667,0.333,0.7579
"If you'd like to pursue further reimbursement for delayed baggage, you'd need to contact 800-335-2247. ^JR",2017-04-05 15:08:43,0,0,0.103,0.761,0.136,0.1531
@ united wish they would have done the same for us on an 17 hour connection and only cost them 5 minutes.,2017-04-05 15:08:22,0,0,0.0,0.766,0.234,0.6705
Very glad to know. You were listed on the current advertisers list so I hope @ mmfa can correct the apparent mistake.,2017-04-05 15:08:18,0,0,0.091,0.643,0.266,0.6843
"Here we have an airliner with a humane amount of space for humans. Use more of these, @ United pic.twitter.com/kRElSWOPAO",2017-04-05 15:07:48,0,0,0.0,0.847,0.153,0.4703
You're welcome. We hope to see you again soon. ^JR,2017-04-05 15:07:18,0,1,0.0,0.576,0.424,0.7096
By now Shannon you do understand that use of non rev tickets have a dress code. Maybe next time get the facts.,2017-04-05 15:06:54,0,0,0.0,1.0,0.0,0.0
You would need to submit any car rental receipts to Customer Care. They handle potential compensation for delays. ^JR,2017-04-05 15:06:23,0,0,0.0,0.849,0.151,0.4939
In DFW gate E30,2017-04-05 15:06:13,0,0,0.0,1.0,0.0,0.0
"I liked a @ YouTube video from @ theskorpion http://youtu.be/DmQFLboIHDE?a  Missing DC Girls? TrumpCare Fails, United Airlines , Trina Vs Tamar",2017-04-05 15:06:06,0,0,0.218,0.523,0.26,0.2406
"@ united you didn't just not hold the plane 5 min for me, no, you left 4 min EARLY. UA917 on Apr 4. https://twitter.com/tkopko/status/849532187934425088 …",2017-04-05 15:05:24,0,0,0.092,0.792,0.117,0.1531
@ united ua5696 gate agent just let 3 people down the jetway with no documentation. Said they just got off and forgot item but who knows,2017-04-05 15:05:16,0,0,0.063,0.863,0.075,0.0772
@ united and you left early for an international flight? Knowing your connections were stranded on tarmac? Not trustworthy.,2017-04-05 15:04:11,0,0,0.0,0.703,0.297,0.7757
